18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:29:02.028864 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:06.030073 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:29:10.040965 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:29:14.042040 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2.9ms
10:29:14.057806 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:18.056250 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:29:22.059286 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.1ms
10:29:22.075012 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:26.067267 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2.6ms
10:29:26.082376 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:30.070849 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:29:34.082143 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9.4ms
10:29:34.098213 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:38.094147 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.3ms
10:29:38.109822 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:42.102078 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7.8ms
10:29:42.117810 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:46.114002 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.9ms
10:29:46.129381 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:50.129407 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.7ms
10:29:50.145307 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:29:54.133568 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 8.9ms
10:29:54.148931 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
